Unnamed: 0,Year,FuelConsumption,Kilometres,Doors,Seats,Price,Automatic,Manual,DEMO,NEW,USED,Engine_cyl_num,Engine_total_vol
0,2022,8.7,5595.0,4,7,10.858806671377762,1,0,1,0,0,4,2.2
1,2022,6.7,16.0,5,5,9.902987427494446,1,0,0,0,1,4,1.5
3,2011,11.0,136517.0,2,4,10.403959764222627,1,0,0,0,1,8,5.5
4,2022,6.0,1035.0,4,5,10.462817585361734,1,0,0,0,1,4,1.3
6,2017,5.1,67662.0,2,4,11.039395625947934,1,0,0,0,1,4,2.0
7,2000,8.0,300539.0,5,5,8.00469951054955,1,0,0,0,1,4,1.6
8,2013,7.1,82012.0,2,4,10.122141038577473,1,0,0,0,1,4,2.0
9,2014,4.5,38229.0,5,5,9.792555991828847,1,0,0,0,1,4,1.3
11,2018,9.8,16324.0,4,2,10.645401087458245,1,0,0,0,1,4,2.7
14,2016,8.0,229829.0,4,2,10.239781201782993,1,0,0,0,1,4,3.0
15,2012,6.2,55676.0,5,5,9.61573881119536,1,0,0,0,1,4,1.4
16,2014,5.6,82624.0,4,5,10.126030923778305,1,0,0,0,1,4,2.0
18,2011,5.4,95204.0,5,5,9.546741177474825,1,0,0,0,1,4,2.0
19,2014,5.4,76289.0,5,5,9.425451751593128,1,0,0,0,1,3,1.0
20,2012,7.5,219681.0,4,7,9.546741177474825,1,0,0,0,1,4,2.4
21,2013,6.1,98079.0,5,5,9.392578591964389,1,0,0,0,1,4,1.6
22,2023,8.4,15.0,4,5,11.337225934085149,1,0,0,1,0,6,3.0
23,2018,5.8,43274.0,5,5,9.898475010712584,1,0,0,0,1,4,1.5
24,2012,8.4,105672.0,4,5,9.79757132694458,1,0,0,0,1,4,2.5
25,2018,4.7,36836.0,5,5,9.61547209118311,1,0,0,0,1,3,1.2
26,2005,9.8,115821.0,4,5,9.047703788498627,1,0,0,0,1,4,2.4
28,2011,7.9,189711.0,4,5,9.471935109664646,1,0,0,0,1,4,2.4
29,2015,8.2,173786.0,4,7,9.74090979777877,1,0,0,0,1,6,2.7
30,2018,6.9,114301.0,4,5,9.996522418503318,1,0,0,0,1,4,2.0
31,2013,6.6,69197.0,5,5,10.121819546853116,0,1,0,0,1,4,2.0
33,2015,7.9,94377.0,4,5,10.081131519778971,1,0,0,0,1,4,2.0
34,2016,6.2,94965.0,5,5,9.74090979777877,1,0,0,0,1,4,1.5
35,2019,8.1,99294.0,4,7,10.106020149946213,1,0,0,0,1,4,2.5
36,2021,4.2,13694.0,5,5,10.711702975923748,1,0,0,0,1,4,1.8
37,2007,6.7,264691.0,4,5,8.980801413573113,1,0,0,0,1,4,1.5
39,2010,7.7,238270.0,5,5,9.082507000466299,0,1,0,0,1,4,1.8
41,2015,9.1,140964.0,4,5,9.546098067659527,1,0,0,0,1,4,2.4
42,2003,0.0,266848.0,4,3,9.21024036697585,1,0,0,0,1,4,2.4
43,2013,7.4,141000.0,4,5,9.61573881119536,1,0,0,0,1,4,1.6
44,2016,7.6,240402.0,4,5,10.032320424379096,1,0,0,0,1,4,2.4
45,2010,7.9,101126.0,2,4,9.996522418503318,1,0,0,0,1,4,1.8
46,2013,6.6,117254.0,5,5,9.903437551286085,1,0,0,0,1,4,2.0
47,2012,7.8,178747.0,2,4,9.898475010712584,0,1,0,0,1,4,2.0
48,2022,7.5,10579.0,4,5,10.54507824618167,1,0,0,0,1,4,2.5
49,2010,7.7,167101.0,5,5,9.471935109664646,1,0,0,0,1,4,1.8
50,2013,9.9,163161.0,4,5,9.74090979777877,1,0,0,0,1,6,4.0
51,2021,6.0,13200.0,3,4,10.5184028848265,0,1,0,0,1,4,1.4
52,2014,8.7,103211.0,4,5,10.080796567506539,1,0,0,0,1,4,2.4
53,2007,7.4,177751.0,4,5,9.304741047397666,1,0,0,0,1,4,1.8
54,2016,10.9,119614.0,3,14,10.712193073730345,1,0,0,0,1,4,2.7
55,2012,6.9,125546.0,5,5,9.672815734801127,1,0,0,0,1,4,1.8
56,2013,6.6,163000.0,4,5,9.740674462130217,1,0,0,0,1,4,2.5
57,2008,11.0,132864.0,4,7,9.897469480210566,1,0,0,0,1,6,3.5
58,2018,7.8,71655.0,4,7,10.691922185369403,1,0,0,0,1,4,2.2
59,2012,5.6,109459.0,4,5,9.846282078765348,1,0,0,0,1,4,2.0
